can_close_early,category,close_time,created_time,custom_strike,event_ticker,expected_expiration_time,expiration_time,expiration_value,last_price,last_price_dollars,latest_expiration_time,liquidity,liquidity_dollars,market_type,mve_collection_ticker,mve_selected_legs,no_ask,no_ask_dollars,no_bid,no_bid_dollars,no_sub_title,notional_value,notional_value_dollars,open_interest,open_time,previous_price,previous_price_dollars,previous_yes_ask,previous_yes_ask_dollars,previous_yes_bid,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,risk_limit_cents,rules_primary,rules_secondary,settlement_timer_seconds,settlement_value,settlement_value_dollars,status,strike_type,subtitle,tick_size,ticker,title,volume,volume_24h,yes_ask,yes_ask_dollars,yes_bid,yes_bid_dollars,yes_sub_title,year
True,,2025-11-23T18:40:28.333277Z,2025-11-23T18:15:00.758214Z,"{'Associated Events': 'KXNFLFIRSTTD-25NOV23INDKC,KXNFLGAME-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC', 'Associated Market Sides': 'yes,yes,yes', 'Associated Markets': 'KXNFLFIRSTTD-25NOV23INDKC-NOTD,KXNFLGAME-25NOV23INDKC-KC,KXNFLRSHYDS-25NOV23INDKC-KCKHUNT29-50', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S20257881F92603D,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLFIRSTTD-25NOV23INDKC', 'market_ticker': 'KXNFLFIRSTTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLGAME-25NOV23INDKC', 'market_ticker': 'KXNFLGAME-25NOV23INDKC-KC', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-KCKHUNT29-50', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Kansas City,yes Kareem Hunt: 50+",100,1.0000,0,2025-11-23T18:14:56.140363Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S20257881F92603D-E145EEFEBA9,"yes No Touchdown,yes Kansas City,yes Kareem Hunt: 50+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Kansas City,yes Kareem Hunt: 50+",2025
True,,2025-11-23T18:40:28.939498Z,2025-11-23T18:05:26.576722Z,"{'Associated Events': 'KXNFLFIRSTTD-25NOV23MINGB,KXNFLGAME-25NOV23MINGB', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLFIRSTTD-25NOV23MINGB-NOTD,KXNFLGAME-25NOV23MINGB-MIN', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23MINGB'}",KXMVENFLSINGLEGAME-S2025532AD80665A,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23MINGB,"[{'event_ticker': 'KXNFLFIRSTTD-25NOV23MINGB', 'market_ticker': 'KXNFLFIRSTTD-25NOV23MINGB-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLGAME-25NOV23MINGB', 'market_ticker': 'KXNFLGAME-25NOV23MINGB-MIN', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Minnesota",100,1.0000,0,2025-11-23T18:05:24.181909Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S2025532AD80665A-CE2B4EC5179,"yes No Touchdown,yes Minnesota",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Minnesota",2025
True,,2025-11-23T18:40:27.619793Z,2025-11-23T17:33:43.920029Z,"{'Associated Events': 'KXNFLANYTD-25NOV23MINGB,KXNFLGAME-25NOV23MINGB,KXNFLREC-25NOV23MINGB', 'Associated Market Sides': 'yes,yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23MINGB-NOTD,KXNFLGAME-25NOV23MINGB-GB,KXNFLREC-25NOV23MINGB-GBLMUSGRAVE88-5', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23MINGB'}",KXMVENFLSINGLEGAME-S2025E72D8BA06E7,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23MINGB,"[{'event_ticker': 'KXNFLANYTD-25NOV23MINGB', 'market_ticker': 'KXNFLANYTD-25NOV23MINGB-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLGAME-25NOV23MINGB', 'market_ticker': 'KXNFLGAME-25NOV23MINGB-GB', 'side': 'yes'}, {'event_ticker': 'KXNFLREC-25NOV23MINGB', 'market_ticker': 'KXNFLREC-25NOV23MINGB-GBLMUSGRAVE88-5', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 5+",100,1.0000,0,2025-11-23T17:33:43.875017Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S2025E72D8BA06E7-2D4DAF06594,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 5+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 5+",2025
True,,2025-11-23T18:40:27.426583Z,2025-11-23T17:33:41.947296Z,"{'Associated Events': 'KXNFLANYTD-25NOV23MINGB,KXNFLGAME-25NOV23MINGB,KXNFLREC-25NOV23MINGB', 'Associated Market Sides': 'yes,yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23MINGB-NOTD,KXNFLGAME-25NOV23MINGB-GB,KXNFLREC-25NOV23MINGB-GBLMUSGRAVE88-3', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23MINGB'}",KXMVENFLSINGLEGAME-S2025E72D8BA06E7,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23MINGB,"[{'event_ticker': 'KXNFLANYTD-25NOV23MINGB', 'market_ticker': 'KXNFLANYTD-25NOV23MINGB-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLGAME-25NOV23MINGB', 'market_ticker': 'KXNFLGAME-25NOV23MINGB-GB', 'side': 'yes'}, {'event_ticker': 'KXNFLREC-25NOV23MINGB', 'market_ticker': 'KXNFLREC-25NOV23MINGB-GBLMUSGRAVE88-3', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 3+",100,1.0000,0,2025-11-23T17:33:41.853349Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S2025E72D8BA06E7-DE400E23408,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 3+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Green Bay,yes Luke Musgrave: 3+",2025
True,,2025-11-23T18:40:29.933746Z,2025-11-23T17:32:43.355814Z,"{'Associated Events': 'KXNFLANYTD-25NOV23MINGB,KXNFLGAME-25NOV23MINGB', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23MINGB-NOTD,KXNFLGAME-25NOV23MINGB-GB', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23MINGB'}",KXMVENFLSINGLEGAME-S2025131DFCDFD94,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23MINGB,"[{'event_ticker': 'KXNFLANYTD-25NOV23MINGB', 'market_ticker': 'KXNFLANYTD-25NOV23MINGB-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLGAME-25NOV23MINGB', 'market_ticker': 'KXNFLGAME-25NOV23MINGB-GB', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Green Bay",100,1.0000,0,2025-11-23T17:32:43.318223Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S2025131DFCDFD94-D4B945F8F9B,"yes No Touchdown,yes Green Bay",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Green Bay",2025
True,,2025-11-23T18:40:27.893136Z,2025-11-23T17:23:34.419895Z,"{'Associated Events': 'KXNFLANYTD-25NOV23INDKC,KXNFLREC-25NOV23INDKC', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23INDKC-NOTD,KXNFLREC-25NOV23INDKC-KCRRICE4-5', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S2025AAFFED83391,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLANYTD-25NOV23INDKC', 'market_ticker': 'KXNFLANYTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLREC-25NOV23INDKC', 'market_ticker': 'KXNFLREC-25NOV23INDKC-KCRRICE4-5', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Rashee Rice: 5+",100,1.0000,0,2025-11-23T17:23:34.362561Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S2025AAFFED83391-4E744529CF8,"yes No Touchdown,yes Rashee Rice: 5+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Rashee Rice: 5+",2025
True,,2025-11-23T18:40:29.423662Z,2025-11-23T17:22:42.592759Z,"{'Associated Events': 'KXNFLANYTD-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23INDKC-NOTD,KXNFLRSHYDS-25NOV23INDKC-INDDJONES17-20', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S202556AC2EC693D,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLANYTD-25NOV23INDKC', 'market_ticker': 'KXNFLANYTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-INDDJONES17-20', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Daniel Jones: 20+",100,1.0000,0,2025-11-23T17:22:42.561369Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S202556AC2EC693D-8148EEA88D2,"yes No Touchdown,yes Daniel Jones: 20+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Daniel Jones: 20+",2025
True,,2025-11-23T18:40:28.064178Z,2025-11-23T17:22:40.159404Z,"{'Associated Events': 'KXNFLANYTD-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC', 'Associated Market Sides': 'yes,yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23INDKC-NOTD,KXNFLRSHYDS-25NOV23INDKC-INDDJONES17-20,KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-23', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S20258F28D42B55F,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLANYTD-25NOV23INDKC', 'market_ticker': 'KXNFLANYTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-INDDJONES17-20', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-23', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Daniel Jones: 20+,yes Patrick Mahomes: 23+",100,1.0000,0,2025-11-23T17:22:40.128664Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S20258F28D42B55F-19B52C279B3,"yes No Touchdown,yes Daniel Jones: 20+,yes Patrick Mahomes: 23+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Daniel Jones: 20+,yes Patrick Mahomes: 23+",2025
True,,2025-11-23T18:40:29.222985Z,2025-11-23T17:22:37.219579Z,"{'Associated Events': 'KXNFLANYTD-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23INDKC-NOTD,KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-23', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S202556AC2EC693D,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLANYTD-25NOV23INDKC', 'market_ticker': 'KXNFLANYTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-23', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Patrick Mahomes: 23+",100,1.0000,0,2025-11-23T17:22:37.184246Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S202556AC2EC693D-0F891EB9A10,"yes No Touchdown,yes Patrick Mahomes: 23+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Patrick Mahomes: 23+",2025
True,,2025-11-23T18:40:29.013994Z,2025-11-23T17:22:34.70972Z,"{'Associated Events': 'KXNFLANYTD-25NOV23INDKC,KXNFLRSHYDS-25NOV23INDKC', 'Associated Market Sides': 'yes,yes', 'Associated Markets': 'KXNFLANYTD-25NOV23INDKC-NOTD,KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-20', 'Multivariate Event Ticker': 'KXMVENFLSINGLEGAME-25NOV23INDKC'}",KXMVENFLSINGLEGAME-S202556AC2EC693D,2025-11-23T21:00:00Z,2025-12-07T18:00:00Z,,0,0.0000,2025-12-07T18:00:00Z,0,0.0000,binary,KXMVENFLSINGLEGAME-25NOV23INDKC,"[{'event_ticker': 'KXNFLANYTD-25NOV23INDKC', 'market_ticker': 'KXNFLANYTD-25NOV23INDKC-NOTD', 'side': 'yes'}, {'event_ticker': 'KXNFLRSHYDS-25NOV23INDKC', 'market_ticker': 'KXNFLRSHYDS-25NOV23INDKC-KCPMAHOMES15-20', 'side': 'yes'}]",100,1.0000,100,1.0000,"yes No Touchdown,yes Patrick Mahomes: 20+",100,1.0000,0,2025-11-23T17:22:34.683063Z,0,0.0000,0,0.0000,0,0.0000,deci_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0010'}]",usd_cent,no,0,,,600,0,0.0000,finalized,custom,,1,KXMVENFLSINGLEGAME-S202556AC2EC693D-700021F2D32,"yes No Touchdown,yes Patrick Mahomes: 20+",0,0,0,0.0000,0,0.0000,"yes No Touchdown,yes Patrick Mahomes: 20+",2025
