Step,AgentID,wealth,position,agent_type
3,8,1000.0,0.0,NoiseTrader
3,9,1000.0,0.0,NoiseTrader
3,10,1000.0,0.0,NoiseTrader
3,11,1000.0,0.0,NoiseTrader
3,12,1000.0,0.0,NoiseTrader
3,13,1000.0,0.0,NoiseTrader
3,14,1000.0,0.0,NoiseTrader
3,15,1000.0,0.0,NoiseTrader
3,16,1000.0,0.0,NoiseTrader
3,17,1000.0,0.0,NoiseTrader
3,18,1000.0,0.0,NoiseTrader
3,19,1000.0,0.0,NoiseTrader
3,20,1000.0,0.0,NoiseTrader
3,21,1000.0,0.0,NoiseTrader
3,22,1000.0,0.0,NoiseTrader
3,23,1000.0,0.0,NoiseTrader
3,24,1000.0,0.0,NoiseTrader
3,25,1000.0,0.0,NoiseTrader
3,26,1000.0,0.0,NoiseTrader
3,27,1000.0,0.0,NoiseTrader
3,28,1000.0,0.0,NoiseTrader
3,29,1000.0,0.0,NoiseTrader
3,30,1000.0,0.0,NoiseTrader
3,31,1000.0,0.0,NoiseTrader
3,32,1000.0,0.0,NoiseTrader
3,33,1000.0,0.0,NoiseTrader
3,34,992.7111486776171,14.017021773813305,NoiseTrader
3,35,1000.0,0.0,NoiseTrader
3,36,1000.0,0.0,NoiseTrader
3,37,1000.0,0.0,NoiseTrader
3,38,1000.0,0.0,NoiseTrader
3,39,1000.0,0.0,NoiseTrader
3,40,1000.0,0.0,NoiseTrader
3,41,1000.0,0.0,NoiseTrader
3,42,1000.0,0.0,NoiseTrader
3,43,1000.0,0.0,NoiseTrader
3,44,1000.0,0.0,NoiseTrader
3,45,1000.0,0.0,NoiseTrader
3,46,1000.0,0.0,NoiseTrader
3,47,1000.0,0.0,NoiseTrader
3,48,1000.0,0.0,NoiseTrader
3,49,1000.0,0.0,NoiseTrader
3,50,1000.0,0.0,NoiseTrader
3,51,10000.0,0.0,InformedTrader
3,52,10000.0,0.0,InformedTrader
3,53,10000.0,0.0,InformedTrader
3,54,10000.0,0.0,InformedTrader
3,55,10000.0,0.0,InformedTrader
3,56,10000.0,0.0,InformedTrader
3,57,10000.0,0.0,InformedTrader
3,58,9974.752525,50.0,InformedTrader
3,59,9992.714967075528,14.57152300124531,InformedTrader
3,60,10000.0,0.0,InformedTrader
3,61,100000.0,0.0,MarketMakerAgent
3,62,100000.0,0.0,MarketMakerAgent
4,1,1000.0,0.0,NoiseTrader
4,2,1000.0,0.0,NoiseTrader
4,3,1000.0,0.0,NoiseTrader
4,4,1000.0,0.0,NoiseTrader
4,5,1000.0,0.0,NoiseTrader
4,6,1000.0,0.0,NoiseTrader
4,7,992.4676471134536,14.404319576528192,NoiseTrader
4,8,1000.0,0.0,NoiseTrader
4,9,1000.0,0.0,NoiseTrader
4,10,1000.0,0.0,NoiseTrader
4,11,1000.0,0.0,NoiseTrader
4,12,1000.0,0.0,NoiseTrader
4,13,1000.0,0.0,NoiseTrader
4,14,1000.0,0.0,NoiseTrader
4,15,1000.0,0.0,NoiseTrader
4,16,1000.0,0.0,NoiseTrader
4,17,1000.0,0.0,NoiseTrader
4,18,1000.0,0.0,NoiseTrader
4,19,1000.0,0.0,NoiseTrader
4,20,1000.0,0.0,NoiseTrader
4,21,1000.0,0.0,NoiseTrader
4,22,1000.0,0.0,NoiseTrader
4,23,1000.0,0.0,NoiseTrader
4,24,1000.0,0.0,NoiseTrader
4,25,1000.0,0.0,NoiseTrader
4,26,1000.0,0.0,NoiseTrader
4,27,1000.0,0.0,NoiseTrader
4,28,1000.0,0.0,NoiseTrader
4,29,1000.0,0.0,NoiseTrader
4,30,1000.0,0.0,NoiseTrader
4,31,1000.0,0.0,NoiseTrader
4,32,1000.0,0.0,NoiseTrader
4,33,1000.0,0.0,NoiseTrader
4,34,992.7111486776171,14.017021773813305,NoiseTrader
4,35,1000.0,0.0,NoiseTrader
4,36,1000.0,0.0,NoiseTrader
4,37,1000.0,0.0,NoiseTrader
4,38,1000.0,0.0,NoiseTrader
4,39,1000.0,0.0,NoiseTrader
4,40,1000.0,0.0,NoiseTrader
4,41,1000.0,0.0,NoiseTrader
4,42,1000.0,0.0,NoiseTrader
4,43,1000.0,0.0,NoiseTrader
4,44,1000.0,0.0,NoiseTrader
4,45,1000.0,0.0,NoiseTrader
4,46,1000.0,0.0,NoiseTrader
4,47,1000.0,0.0,NoiseTrader
4,48,1000.0,0.0,NoiseTrader
4,49,1000.0,0.0,NoiseTrader
4,50,1000.0,0.0,NoiseTrader
4,51,10000.0,0.0,InformedTrader
4,52,9995.911924301941,8.596009002996219,InformedTrader
4,53,9975.00499975,50.0,InformedTrader
4,54,10000.0,0.0,InformedTrader
4,55,9975.00499975,50.0,InformedTrader
4,56,10000.0,0.0,InformedTrader
4,57,9974.752525,50.0,InformedTrader
4,58,9949.50505,100.0,InformedTrader
4,59,9967.719966825527,64.57152300124531,InformedTrader
4,60,10000.0,0.0,InformedTrader
4,61,100000.0,0.0,MarketMakerAgent
4,62,100000.0,0.0,MarketMakerAgent
5,1,1000.0,0.0,NoiseTrader
5,2,1000.0,0.0,NoiseTrader
5,3,1000.0,0.0,NoiseTrader
5,4,1000.0,0.0,NoiseTrader
5,5,1000.0,0.0,NoiseTrader
5,6,1000.0,0.0,NoiseTrader
5,7,999.647781483655,0.3255969896310482,NoiseTrader
5,8,1000.0,0.0,NoiseTrader
5,9,1000.0,0.0,NoiseTrader
5,10,1000.0,0.0,NoiseTrader
5,11,1000.0,0.0,NoiseTrader
5,12,1000.0,0.0,NoiseTrader
5,13,1000.0,0.0,NoiseTrader
5,14,1000.0,0.0,NoiseTrader
5,15,1000.0,0.0,NoiseTrader
5,16,1000.0,0.0,NoiseTrader
5,17,1000.0,0.0,NoiseTrader
5,18,1000.0,0.0,NoiseTrader
5,19,1000.0,0.0,NoiseTrader
5,20,1000.0,0.0,NoiseTrader
5,21,1000.0,0.0,NoiseTrader
5,22,1000.0,0.0,NoiseTrader
5,23,1000.0,0.0,NoiseTrader
5,24,1000.0,0.0,NoiseTrader
5,25,993.4531396576666,12.965376423451074,NoiseTrader
5,26,1000.0,0.0,NoiseTrader
5,27,1000.0,0.0,NoiseTrader
5,28,1000.0,0.0,NoiseTrader
5,29,1000.0,0.0,NoiseTrader
5,30,1000.0,0.0,NoiseTrader
5,31,1000.0,0.0,NoiseTrader
5,32,1000.0,0.0,NoiseTrader
5,33,1000.0,0.0,NoiseTrader
5,34,992.7111486776171,14.017021773813305,NoiseTrader
5,35,1000.0,0.0,NoiseTrader
5,36,1000.0,0.0,NoiseTrader
5,37,1000.0,0.0,NoiseTrader
5,38,1000.0,0.0,NoiseTrader
5,39,1000.0,0.0,NoiseTrader
5,40,1000.0,0.0,NoiseTrader
5,41,1000.0,0.0,NoiseTrader
5,42,1000.0,0.0,NoiseTrader
5,43,1000.0,0.0,NoiseTrader
5,44,1000.0,0.0,NoiseTrader
5,45,1000.0,0.0,NoiseTrader
5,46,1000.0,0.0,NoiseTrader
5,47,1000.0,0.0,NoiseTrader
5,48,1000.0,0.0,NoiseTrader
5,49,1000.0,0.0,NoiseTrader
5,50,1000.0,0.0,NoiseTrader
5,51,9995.659449551942,8.596009002996219,InformedTrader
5,52,9999.728074830036,1.1133461634460673,InformedTrader
5,53,9960.644935540391,78.43861457355271,InformedTrader
5,54,10000.0,0.0,InformedTrader
5,55,9949.757524749999,100.0,InformedTrader
5,56,10000.0,0.0,InformedTrader
5,57,9949.50505,100.0,InformedTrader
5,58,9949.50505,100.0,InformedTrader
5,59,9992.967441825527,14.57152300124531,InformedTrader
5,60,9974.787251534191,50.0,InformedTrader
5,61,100000.0,0.0,MarketMakerAgent
5,62,100000.0,0.0,MarketMakerAgent
6,1,1000.0,0.0,NoiseTrader
6,2,1000.0,0.0,NoiseTrader
6,3,1000.0,0.0,NoiseTrader
6,4,1000.0,0.0,NoiseTrader
6,5,1000.0,0.0,NoiseTrader
6,6,1000.0,0.0,NoiseTrader
6,7,999.647781483655,0.3255969896310482,NoiseTrader
6,8,1000.0,0.0,NoiseTrader
6,9,1000.0,0.0,NoiseTrader
6,10,1000.0,0.0,NoiseTrader
6,11,1000.0,0.0,NoiseTrader
6,12,1000.0,0.0,NoiseTrader
6,13,1000.0,0.0,NoiseTrader
6,14,1000.0,0.0,NoiseTrader
6,15,1000.0,0.0,NoiseTrader
6,16,1000.0,0.0,NoiseTrader
6,17,1000.0,0.0,NoiseTrader
6,18,1000.0,0.0,NoiseTrader
6,19,1000.0,0.0,NoiseTrader
6,20,1000.0,0.0,NoiseTrader
6,21,1000.0,0.0,NoiseTrader
6,22,1000.0,0.0,NoiseTrader
6,23,1000.0,0.0,NoiseTrader
6,24,1000.0,0.0,NoiseTrader
6,25,993.4531396576666,12.965376423451074,NoiseTrader
6,26,1000.0,0.0,NoiseTrader
6,27,1000.0,0.0,NoiseTrader
6,28,1000.0,0.0,NoiseTrader
6,29,1000.0,0.0,NoiseTrader
6,30,1000.0,0.0,NoiseTrader
6,31,1000.0,0.0,NoiseTrader
6,32,1000.0,0.0,NoiseTrader
6,33,1000.0,0.0,NoiseTrader
6,34,992.7111486776171,14.017021773813305,NoiseTrader
6,35,1000.0,0.0,NoiseTrader
6,36,1000.0,0.0,NoiseTrader
6,37,1000.0,0.0,NoiseTrader
6,38,1000.0,0.0,NoiseTrader
6,39,1000.0,0.0,NoiseTrader
6,40,1000.0,0.0,NoiseTrader
6,41,1000.0,0.0,NoiseTrader
6,42,1000.0,0.0,NoiseTrader
6,43,1000.0,0.0,NoiseTrader
6,44,1000.0,0.0,NoiseTrader
6,45,1000.0,0.0,NoiseTrader
6,46,1000.0,0.0,NoiseTrader
6,47,1000.0,0.0,NoiseTrader
6,48,1000.0,0.0,NoiseTrader
6,49,1000.0,0.0,NoiseTrader
6,50,1000.0,0.0,NoiseTrader
6,51,9995.659449551942,8.596009002996219,InformedTrader
6,52,9973.973125582537,51.11334616344607,InformedTrader
6,53,9986.144885290392,28.438614573552705,InformedTrader
6,54,10000.0,0.0,InformedTrader
6,55,9975.512473997498,50.0,InformedTrader
6,56,9978.316200778094,42.51733716044985,InformedTrader
6,57,9975.259999247499,50.0,InformedTrader
6,58,9945.688899471905,107.48266283955016,InformedTrader
6,59,9992.967441825527,14.57152300124531,InformedTrader
6,60,9949.032302286692,100.0,InformedTrader
6,61,100000.0,0.0,MarketMakerAgent
6,62,100000.0,0.0,MarketMakerAgent
7,1,1000.0,0.0,NoiseTrader
7,2,1000.0,0.0,NoiseTrader
7,3,1000.0,0.0,NoiseTrader
7,4,1000.0,0.0,NoiseTrader
7,5,1000.0,0.0,NoiseTrader
7,6,1000.0,0.0,NoiseTrader
7,7,999.647781483655,0.3255969896310482,NoiseTrader
7,8,1000.0,0.0,NoiseTrader
7,9,1000.0,0.0,NoiseTrader
7,10,1000.0,0.0,NoiseTrader
7,11,1000.0,0.0,NoiseTrader
7,12,1000.0,0.0,NoiseTrader
7,13,1000.0,0.0,NoiseTrader
7,14,1000.0,0.0,NoiseTrader
7,15,1000.0,0.0,NoiseTrader
7,16,1000.0,0.0,NoiseTrader
7,17,1000.0,0.0,NoiseTrader
7,18,1000.0,0.0,NoiseTrader
7,19,1000.0,0.0,NoiseTrader
7,20,1000.0,0.0,NoiseTrader
7,21,1000.0,0.0,NoiseTrader
7,22,1000.0,0.0,NoiseTrader
7,23,1000.0,0.0,NoiseTrader
7,24,1000.0,0.0,NoiseTrader
7,25,993.4531396576666,12.965376423451074,NoiseTrader
7,26,1000.0,0.0,NoiseTrader
7,27,1000.0,0.0,NoiseTrader
7,28,1000.0,0.0,NoiseTrader
7,29,1000.0,0.0,NoiseTrader
7,30,1000.0,0.0,NoiseTrader
7,31,1000.0,0.0,NoiseTrader
7,32,1000.0,0.0,NoiseTrader
7,33,1000.0,0.0,NoiseTrader
7,34,992.7111486776171,14.017021773813305,NoiseTrader
7,35,1000.0,0.0,NoiseTrader
7,36,1000.0,0.0,NoiseTrader
7,37,1000.0,0.0,NoiseTrader
7,38,1000.0,0.0,NoiseTrader
7,39,1000.0,0.0,NoiseTrader
7,40,992.2940142623047,14.679480097981399,NoiseTrader
7,41,1000.0,0.0,NoiseTrader
7,42,1000.0,0.0,NoiseTrader
7,43,1000.0,0.0,NoiseTrader
7,44,1000.0,0.0,NoiseTrader
7,45,1000.0,0.0,NoiseTrader
7,46,992.8189784149492,13.679452185497293,NoiseTrader
7,47,1000.0,0.0,NoiseTrader
7,48,1000.0,0.0,NoiseTrader
7,49,1000.0,0.0,NoiseTrader
7,50,1000.0,0.0,NoiseTrader
7,51,9995.659449551942,8.596009002996219,InformedTrader
7,52,9947.960626842561,101.11334616344607,InformedTrader
7,53,9993.480368451026,14.197695109605668,InformedTrader
7,54,10000.0,0.0,InformedTrader
7,55,9949.499975257522,100.0,InformedTrader
7,56,9992.919516336866,14.240919463947037,InformedTrader
7,57,10001.272497987475,0.0,InformedTrader
7,58,9964.035737012628,71.72358230349718,InformedTrader
7,59,9989.520737739133,21.329779625642196,InformedTrader
7,60,9975.044801026668,50.0,InformedTrader
7,61,100000.0,0.0,MarketMakerAgent
7,62,100000.0,0.0,MarketMakerAgent
8,1,1000.0,0.0,NoiseTrader
8,2,1000.0,0.0,NoiseTrader
8,3,1000.0,0.0,NoiseTrader
8,4,1000.0,0.0,NoiseTrader
8,5,1000.0,0.0,NoiseTrader
8,6,1000.0,0.0,NoiseTrader
8,7,999.647781483655,0.3255969896310482,NoiseTrader
8,8,1000.0,0.0,NoiseTrader
8,9,1000.0,0.0,NoiseTrader
8,10,1000.0,0.0,NoiseTrader
8,11,1000.0,0.0,NoiseTrader
8,12,1000.0,0.0,NoiseTrader
8,13,1000.0,0.0,NoiseTrader
8,14,1000.0,0.0,NoiseTrader
8,15,1000.0,0.0,NoiseTrader
8,16,992.2389353069078,14.643546056331969,NoiseTrader
8,17,1000.0,0.0,NoiseTrader
8,18,1000.0,0.0,NoiseTrader
8,19,1000.0,0.0,NoiseTrader
8,20,1000.0,0.0,NoiseTrader
8,21,1000.0,0.0,NoiseTrader
8,22,1000.0,0.0,NoiseTrader
8,23,1000.0,0.0,NoiseTrader
8,24,1000.0,0.0,NoiseTrader
8,25,993.4531396576666,12.965376423451074,NoiseTrader
8,26,1000.0,0.0,NoiseTrader
8,27,1000.0,0.0,NoiseTrader
8,28,1000.0,0.0,NoiseTrader
8,29,1000.0,0.0,NoiseTrader
8,30,1000.0,0.0,NoiseTrader
8,31,1000.0,0.0,NoiseTrader
8,32,1000.0,0.0,NoiseTrader
8,33,1000.0,0.0,NoiseTrader
8,34,992.7111486776171,14.017021773813305,NoiseTrader
8,35,1000.0,0.0,NoiseTrader
8,36,1000.0,0.0,NoiseTrader
8,37,1000.0,0.0,NoiseTrader
8,38,1000.0,0.0,NoiseTrader
8,39,1000.0,0.0,NoiseTrader
8,40,992.2940142623047,14.679480097981399,NoiseTrader
8,41,1000.0,0.0,NoiseTrader
8,42,1000.0,0.0,NoiseTrader
8,43,1000.0,0.0,NoiseTrader
8,44,1000.0,0.0,NoiseTrader
8,45,1000.0,0.0,NoiseTrader
8,46,992.8189784149492,13.679452185497293,NoiseTrader
8,47,1000.0,0.0,NoiseTrader
8,48,1000.0,0.0,NoiseTrader
8,49,1000.0,0.0,NoiseTrader
8,50,1000.0,0.0,NoiseTrader
8,51,9995.659449551942,8.596009002996219,InformedTrader
8,52,9947.960626842561,101.11334616344607,InformedTrader
8,53,9993.480368451026,14.197695109605668,InformedTrader
8,54,10000.0,0.0,InformedTrader
8,55,9937.310206789198,123.21972636617981,InformedTrader
8,56,9992.919516336866,14.240919463947037,InformedTrader
8,57,10001.272497987475,0.0,InformedTrader
8,58,9956.81480843119,85.46588808986735,InformedTrader
8,59,9996.74166632057,7.587473839272029,InformedTrader
8,60,9975.044801026668,50.0,InformedTrader
8,61,100000.0,0.0,MarketMakerAgent
8,62,100000.0,0.0,MarketMakerAgent
9,1,1000.0,0.0,NoiseTrader
9,2,1000.0,0.0,NoiseTrader
9,3,1000.0,0.0,NoiseTrader
9,4,1000.0,0.0,NoiseTrader
9,5,1000.0,0.0,NoiseTrader
9,6,1000.0,0.0,NoiseTrader
9,7,999.647781483655,0.3255969896310482,NoiseTrader
9,8,1000.0,0.0,NoiseTrader
9,9,1000.0,0.0,NoiseTrader
9,10,1000.0,0.0,NoiseTrader
9,11,1000.0,0.0,NoiseTrader
9,12,1000.0,0.0,NoiseTrader
9,13,1000.0,0.0,NoiseTrader
9,14,1000.0,0.0,NoiseTrader
9,15,1000.0,0.0,NoiseTrader
9,16,992.2389353069078,14.643546056331969,NoiseTrader
9,17,1000.0,0.0,NoiseTrader
9,18,1000.0,0.0,NoiseTrader
9,19,1000.0,0.0,NoiseTrader
9,20,1000.0,0.0,NoiseTrader
9,21,1000.0,0.0,NoiseTrader
9,22,1000.0,0.0,NoiseTrader
9,23,1000.0,0.0,NoiseTrader
9,24,1000.0,0.0,NoiseTrader
9,25,993.4531396576666,12.965376423451074,NoiseTrader
9,26,1000.0,0.0,NoiseTrader
9,27,1000.0,0.0,NoiseTrader
9,28,1000.0,0.0,NoiseTrader
9,29,1000.0,0.0,NoiseTrader
9,30,1000.0,0.0,NoiseTrader
9,31,1000.0,0.0,NoiseTrader
9,32,1000.0,0.0,NoiseTrader
9,33,1000.0,0.0,NoiseTrader
9,34,992.7111486776171,14.017021773813305,NoiseTrader
9,35,1000.0,0.0,NoiseTrader
9,36,1000.0,0.0,NoiseTrader
9,37,1000.0,0.0,NoiseTrader
9,38,1000.0,0.0,NoiseTrader
9,39,1000.0,0.0,NoiseTrader
9,40,992.2940142623047,14.679480097981399,NoiseTrader
9,41,1000.0,0.0,NoiseTrader
9,42,1000.0,0.0,NoiseTrader
9,43,1000.0,0.0,NoiseTrader
9,44,1000.0,0.0,NoiseTrader
9,45,1000.0,0.0,NoiseTrader
9,46,992.8189784149492,13.679452185497293,NoiseTrader
9,47,1000.0,0.0,NoiseTrader
9,48,1000.0,0.0,NoiseTrader
9,49,1000.0,0.0,NoiseTrader
9,50,1000.0,0.0,NoiseTrader
9,51,9995.659449551942,8.596009002996219,InformedTrader
9,52,9974.49597680721,51.11334616344607,InformedTrader
9,53,9993.480368451026,14.197695109605668,InformedTrader
9,54,10000.0,0.0,InformedTrader
9,55,9937.310206789198,123.21972636617981,InformedTrader
9,56,9992.919516336866,14.240919463947037,InformedTrader
9,57,10001.272497987475,0.0,InformedTrader
9,58,9930.29639084479,135.46588808986735,InformedTrader
9,59,9996.74166632057,7.587473839272029,InformedTrader
9,60,9961.587953441514,75.35645394366803,InformedTrader
9,61,100000.0,0.0,MarketMakerAgent
9,62,100000.0,0.0,MarketMakerAgent
10,1,1000.0,0.0,NoiseTrader
10,2,1000.0,0.0,NoiseTrader
10,3,1000.0,0.0,NoiseTrader
10,4,1000.0,0.0,NoiseTrader
